Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação,Link,Error
Processo civil brasileiro: parte especial: procedimento comum: (da demanda à coisa julgada),9786526009994,28/07/2022,1436,2022,https://www.livrariart.com.br/processo-civil-brasileiro-vol-4-9786526009994/p,
Sistema Brasileiro de Precedentes - Natureza - Eficácia - Operacionalidade,,,,,,Book not Found
Guarda compartilhada: um novo modelo de responsabilidade parental,,,,,,Book not Found
Princípios do Processo na Constituição Federal,9788520371268,,464,2017,https://www.livrariart.com.br/principios-do-processo-na-constituicao-federal-13-edicao-9788520371268/p,
,,,,,,
Eficácia das Sentenças na Jurisdição Constitucional,9788520370704,,2017,160,https://www.livrariart.com.br/eficacia-das-sentencas-na-jurisdicao-constitucional-4-edicao-9788520370704/p,
,,,,,,
"Cortes Superiores e Cortes Supremas: do controle à interpretação, da jurisprudência ao precendente",,,,,,Book not Found
Antecipação da tutela - Da Tutela Cautelar à Técnica Antecipatória,9788553218851,,224,2019,https://www.livrariart.com.br/ebook-antecipacao-da-tutela-4-edicao-9788553218851/p,
,,,,,,
Novo Curso de Processo Civil: tutela dos direitos mediante procedimento comum,,,,,,Book not Found
Novo Curso de Processo Civil: tutela dos direitos mediante procedimentos diferenciados,,,,,,Book not Found
,,,,,,
Curso de Direito do Trabalho Aplicado: Parte Geral,9786559917785,07/10/21,1024,2021,https://www.livrariart.com.br/e-book-direito-do-trabalho-aplicado-volume-4/p,
Curso de Direito do Trabalho Aplicado: Saúde e Segurança do Trabalho,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Manual dos Recursos Penais,9786559912582,3/28/22,746,2022,https://www.livrariart.com.br/manual-dos-recursos-penais-5-edicao/p,
Alterações no novo CPC: o que mudou?,9788554947828,,1600,2018,https://www.livrariart.com.br/alteracoes-do-novo-cpc-o-que-mudou-3-edicao-9788554947828/p,
